IDX,Applicant_ID,Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
41,22548,9,8,Marketing,Senior Researcher,Insurance,M,Sr.Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Pune,Pune,972677,Y,Key_Performer,6,6,3,0,1264480
42,16643,4,0,Analytics/BI,Analyst,Insurance,I,Product Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Pune,Bangalore,661222,N,B,2,8,1,0,826527
44,43058,2,2,Marketing,Sales Execituve,FMCG,A,Product Manager,Grad,Sociology,Guwahati,2018.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Pune,Lucknow,584596,N,B,1,1,0,0,730745
45,35385,4,2,Analytics/BI,Analyst,IT,P,HR,Doctorate,Sociology,Jaipur,2016.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bhubaneswar,Mumbai,1082319,N,A,3,1,0,0,1519575
51,57153,11,3,Education,Financial Analyst,IT,H,Marketing Manager,PG,Chemistry,Kolkata,2003.0,Others,Kolkata,2005.0,Others,Guwahati,2009.0,Guwahati,Lucknow,1746890,Y,Key_Performer,4,6,1,0,2305894
53,33792,19,19,Education,Bio statistician,Training,E,HR,Doctorate,Statistics,Jaipur,2001.0,Statistics,Jaipur,2013.0,Others,Kolkata,2007.0,Kolkata,Bangalore,2816631,N,C,2,2,0,0,3498255
55,51657,9,4,Education,Consultant,Training,J,Medical Officer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mumbai,Jaipur,1503277,N,B,4,2,1,0,1879096
61,24730,13,12,Education,Business Analyst,Analytics,M,CA,PG,Economics,Kolkata,2000.0,Economics,Kolkata,2002.0,Economics,Ahmedabad,2007.0,Pune,Ahmedabad,1546266,N,B,2,8,1,0,2010145
62,53939,4,2,Others,Project Manager,Telecom,C,HR,Doctorate,Zoology,Pune,2016.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Jaipur,Lucknow,1217420,N,C,3,0,0,0,1512035
65,21528,22,21,Marketing,Others,Aviation,I,Medical Officer,Grad,Psychology,Mangalore,1998.0,Psychology,Mangalore,2009.0,Others,Kolkata,2007.0,Mangalore,Ahmedabad,2577817,Y,Key_Performer,6,2,0,0,3299605
66,34071,9,3,IT-Software,Sales Execituve,Insurance,M,Marketing Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Pune,Mumbai,1385073,Y,A,2,4,2,0,1800594
67,56603,24,22,Top Management,Sr. Business Analyst,Insurance,I,Assistant Manager,Grad,Engineering,Guwahati,1996.0,Engineering,Guwahati,2012.0,Others,Kolkata,2007.0,Kanpur,Jaipur,2681512,N,D,6,0,0,0,3083738
69,34083,1,1,Engineering,Project Manager,FMCG,L,Network Engineer,Doctorate,Others,Bangalore,2019.0,Sociology,Bangalore,2022.0,Others,Kolkata,2007.0,Lucknow,Lucknow,777519,N,B,2,0,0,0,971898
71,55335,2,2,HR,Associate,Insurance,J,Research Analyst,PG,Zoology,Jaipur,2018.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bhubaneswar,Bhubaneswar,781291,N,B,2,0,0,0,1015678
77,50328,10,7,IT-Software,Others,Retail,C,Medical Officer,Grad,Chemistry,Kolkata,2010.0,Chemistry,Kolkata,2017.0,Others,Kolkata,2007.0,Kanpur,Pune,1812038,N,D,3,2,0,0,2083843
79,56864,2,2,Marketing,Others,FMCG,E,Marketing Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Delhi,Bangalore,445521,N,B,2,1,3,0,556901
85,33027,11,8,Engineering,Head,BFSI,J,Consultant,PG,Mathematics,Surat,2009.0,Mathematics,Surat,2019.0,Others,Kolkata,2007.0,Delhi,Bangalore,1789587,Y,Key_Performer,6,1,1,0,2362254
89,37357,17,2,Marketing,Business Analyst,Analytics,N,Consultant,PG,Sociology,Jaipur,2003.0,Sociology,Jaipur,2014.0,Others,Kolkata,2007.0,Jaipur,Guwahati,3407677,N,Key_Performer,4,2,1,0,4429980
90,46403,14,3,Sales,Others,Insurance,E,Consultant,Grad,Engineering,Bangalore,2000.0,Engineering,Bangalore,2002.0,Engineering,Bangalore,2006.0,Jaipur,Chennai,1956077,Y,A,6,8,0,0,2503778
93,41766,5,3,HR,Sales Execituve,Retail,C,Medical Officer,PG,Botony,Pune,2015.0,Botony,Pune,2017.0,Others,Kolkata,2007.0,Bhubaneswar,Bhubaneswar,946212,N,C,5,1,1,0,1131669
94,16327,11,5,Education,Project Manager,Automobile,I,HR,Doctorate,Chemistry,Bangalore,2001.0,Chemistry,Bangalore,2003.0,Chemistry,Jaipur,2009.0,Nagpur,Pune,1979283,Y,D,6,6,0,0,2549316
95,31799,11,3,Education,Business Analyst,Aviation,A,Manager,PG,Sociology,Kolkata,2009.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Jaipur,Nagpur,1294684,N,D,6,0,1,0,1548442
96,59528,1,0,Others,Team Lead,Aviation,N,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Jaipur,Surat,505992,N,C,3,5,3,0,581890
97,45947,11,3,HR,Team Lead,IT,G,Director,Grad,Economics,Nagpur,2003.0,Economics,Nagpur,2005.0,Economics,Mumbai,2009.0,Ahmedabad,Mangalore,1863415,Y,D,3,6,0,0,2194357
99,15080,9,0,Marketing,Others,Training,O,HR,Grad,Botony,Jaipur,2011.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Jaipur,Chennai,969711,N,B,6,0,0,0,1212138
105,13705,20,5,Engineering,Senior Researcher,Telecom,K,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Lucknow,Kanpur,2293633,Y,Key_Performer,2,3,1,0,2981722
106,36986,1,1,Marketing,Associate,Telecom,H,Research Analyst,Grad,Psychology,Bhubaneswar,2019.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Surat,Lucknow,472018,N,B,1,1,3,0,590022
107,34234,15,14,HR,Sales Manager,Insurance,B,Software Developer,PG,Economics,Nagpur,2005.0,Economics,Nagpur,2017.0,Others,Kolkata,2007.0,Pune,Ahmedabad,1573952,N,C,5,0,0,0,1882446
108,46467,16,5,Engineering,Others,Insurance,D,Web Designer,Doctorate,Economics,Mangalore,2004.0,Economics,Mangalore,2018.0,Others,Kolkata,2007.0,Bangalore,Ahmedabad,3033202,Y,B,5,1,0,0,4246482
109,24254,13,4,Marketing,Others,Others,G,Medical Officer,Grad,Psychology,Surat,1999.0,Psychology,Surat,2001.0,Psychology,Bangalore,2007.0,Surat,Nagpur,1971569,N,A,6,8,0,0,2464461
112,37497,25,15,Marketing,Bio statistician,Training,G,Product Manager,Doctorate,Botony,Bhubaneswar,1995.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Delhi,Ahmedabad,3443850,Y,Key_Performer,5,1,0,0,4821390
114,27095,9,6,Banking,Sales Manager,Insurance,H,Marketing Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kanpur,Bhubaneswar,1825369,Y,D,4,5,1,0,2183141
115,36548,5,0,HR,Others,IT,D,Sr.Manager,Doctorate,Botony,Lucknow,2015.0,Botony,Lucknow,2011.0,Others,Kolkata,2007.0,Lucknow,Kolkata,1361036,N,Key_Performer,5,0,0,0,1910894
116,53464,13,0,Analytics/BI,Financial Analyst,FMCG,J,Research Analyst,Doctorate,Mathematics,Ahmedabad,2000.0,Mathematics,Ahmedabad,2002.0,Mathematics,Pune,2007.0,Guwahati,Bhubaneswar,1668292,Y,Key_Performer,2,3,0,0,2335608
117,14922,24,11,Analytics/BI,Analyst,IT,H,Network Engineer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Nagpur,Bangalore,2183770,N,D,4,7,3,0,2511335
121,17855,12,9,Marketing,Financial Analyst,Aviation,L,Network Engineer,PG,Statistics,Mumbai,2001.0,Statistics,Mumbai,2003.0,Statistics,Delhi,2008.0,Pune,Ahmedabad,2307887,Y,Key_Performer,3,7,0,0,3046410
122,27307,13,2,Education,Consultant,Insurance,E,Product Manager,PG,Statistics,Bangalore,2000.0,Others,Bangalore,2002.0,Chemistry,Mumbai,2007.0,Kolkata,Ahmedabad,1489592,Y,A,2,5,1,0,1966261
127,21294,8,1,Engineering,Bio statistician,BFSI,G,HR,PG,Sociology,Nagpur,2012.0,Sociology,Nagpur,2009.0,Others,Kolkata,2007.0,Ahmedabad,Pune,1814903,N,D,3,0,1,0,2170623
128,21025,14,10,Banking,Financial Analyst,Others,L,Data Analyst,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Jaipur,1347703,Y,Key_Performer,2,3,3,0,1752013
129,18775,1,0,Healthcare,Business Analyst,Analytics,I,Marketing Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Pune,Nagpur,499723,N,D,3,8,2,0,574681
132,50793,2,1,Others,Team Lead,IT,N,Director,Doctorate,Statistics,Lucknow,2018.0,Statistics,Lucknow,2013.0,Others,Kolkata,2007.0,Mumbai,Mangalore,722878,N,D,3,0,0,0,877863
133,10991,11,4,Analytics/BI,Team Lead,Telecom,F,Product Manager,PG,Psychology,Lucknow,2009.0,Psychology,Lucknow,2020.0,Others,Kolkata,2007.0,Lucknow,Bangalore,2472884,N,Key_Performer,2,1,0,0,3214749
134,42293,18,13,Banking,Head,Automobile,B,HR,PG,Botony,Jaipur,2002.0,Botony,Jaipur,2015.0,Others,Kolkata,2007.0,Mumbai,Mumbai,2767657,N,A,4,1,1,0,3597954
135,55244,6,2,Analytics/BI,Data scientist,Telecom,F,Product Manager,PG,Zoology,Pune,2014.0,Zoology,Pune,2014.0,Others,Kolkata,2007.0,Chennai,Jaipur,1229122,N,D,6,1,1,0,1470029
136,39285,23,16,Banking,Consultant,Automobile,E,Data Analyst,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Surat,Delhi,2232090,N,B,2,4,1,0,2790112
142,59947,22,22,Banking,Head,Aviation,E,Product Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Surat,Pune,2385260,N,A,5,3,0,0,2981575
143,18665,19,8,IT-Software,Consultant,Insurance,E,Product Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Bangalore,2576392,N,C,2,5,1,0,2962850
144,20656,10,7,Analytics/BI,Senior Researcher,FMCG,B,Manager,Doctorate,Sociology,Mangalore,2010.0,Sociology,Mangalore,2019.0,Others,Kolkata,2007.0,Delhi,Surat,2170747,N,Key_Performer,5,1,0,0,2930508
148,54521,11,10,HR,Consultant,BFSI,C,Director,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Jaipur,Mangalore,1237294,Y,A,4,8,1,0,1608482
152,54852,11,9,Healthcare,Sales Execituve,Insurance,G,Web Designer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Nagpur,Mumbai,1443236,Y,B,5,3,3,0,1876206
155,39200,6,2,Healthcare,Researcher,Training,J,Product Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bhubaneswar,Bhubaneswar,1030449,N,C,4,4,1,0,1185016
156,42042,5,5,Marketing,Team Lead,Retail,P,HR,Doctorate,Botony,Mumbai,2015.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Bangalore,1310168,N,B,2,0,0,0,1768726
157,59312,22,15,Banking,Project Manager,Automobile,J,Director,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Lucknow,2499280,N,B,2,7,2,0,3124100
158,54697,13,12,Top Management,Senior Analyst,Analytics,L,Others,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Nagpur,Surat,1112748,Y,Key_Performer,4,4,1,0,1446572
162,22370,12,7,Sales,Others,Others,K,Assistant Manager,Doctorate,Mathematics,Surat,2008.0,Mathematics,Surat,2019.0,Others,Kolkata,2007.0,Chennai,Bangalore,2132305,N,A,4,0,0,0,2878611
163,54255,12,0,Analytics/BI,Analyst,Automobile,J,Web Designer,PG,Statistics,Delhi,1999.0,Statistics,Delhi,2001.0,Statistics,Bhubaneswar,2008.0,Bangalore,Chennai,1976777,Y,D,5,3,1,0,2400597
165,56101,3,2,Accounts,Business Analyst,Automobile,E,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Chennai,Mumbai,495240,Y,A,2,8,4,0,643812
172,22719,17,12,Healthcare,Bio statistician,Retail,L,Product Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Guwahati,2622243,N,C,5,1,5,0,3015579
173,12389,14,14,Banking,Bio statistician,Telecom,G,CA,PG,Engineering,Mangalore,1998.0,Engineering,Mangalore,2000.0,Engineering,Ahmedabad,2006.0,Surat,Guwahati,2322287,Y,A,2,6,1,0,3065418
174,12082,16,9,Analytics/BI,Business Analyst,Aviation,O,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Jaipur,Bangalore,2559409,N,B,5,0,0,0,3199261
178,17325,14,6,Banking,Sales Execituve,Others,L,CA,Doctorate,Engineering,Pune,1997.0,Engineering,Pune,1999.0,Engineering,Surat,2006.0,Mangalore,Mumbai,1818660,N,D,2,7,0,0,2258775
183,35292,1,1,Marketing,Financial Analyst,Analytics,O,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Mumbai,429866,N,B,2,2,0,0,537332
184,23472,10,2,IT-Software,Business Analyst,Automobile,J,Research Analyst,Doctorate,Chemistry,Pune,2010.0,Chemistry,Pune,2008.0,Others,Kolkata,2007.0,Kanpur,Delhi,2002973,Y,B,5,2,0,0,2804162
185,29819,22,1,Sales,Project Manager,Insurance,I,Product Manager,PG,Arts,Nagpur,1998.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kanpur,Nagpur,3830601,Y,Key_Performer,2,1,0,0,5056393
186,37206,2,1,Analytics/BI,Bio statistician,Training,I,Research Analyst,PG,Mathematics,Guwahati,2018.0,Mathematics,Guwahati,2021.0,Others,Kolkata,2007.0,Lucknow,Delhi,543167,N,B,2,2,1,0,695253
188,21433,5,0,Engineering,Bio statistician,Aviation,F,Assistant Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Chennai,Bhubaneswar,455747,N,D,6,0,2,0,524109
189,17029,18,16,Others,Project Manager,Retail,A,Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Chennai,2756888,N,C,6,7,2,0,3170421
191,52541,3,3,Sales,Project Manager,BFSI,F,Others,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kanpur,Nagpur,514352,N,D,2,0,0,0,591504
192,14606,14,14,Sales,Team Lead,Retail,G,Assistant Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Surat,Guwahati,1226930,Y,B,3,3,0,0,1595009
197,10071,9,5,HR,Senior Researcher,Retail,C,HR,Grad,Zoology,Lucknow,2011.0,Zoology,Lucknow,2022.0,Others,Kolkata,2007.0,Delhi,Mumbai,1146614,N,D,2,1,0,0,1318606
198,31876,9,0,Education,Analyst,Aviation,E,Product Manager,Grad,Botony,Guwahati,2011.0,Others,Guwahati,2014.0,Others,Kolkata,2007.0,Mumbai,Jaipur,1267859,N,B,4,1,0,0,1584823
200,33250,22,22,Others,Others,Telecom,A,Others,Doctorate,Chemistry,Surat,1998.0,Chemistry,Surat,2019.0,Others,Kolkata,2007.0,Kolkata,Mangalore,3043008,N,D,4,0,0,0,3779415
202,27177,3,1,HR,Analyst,Others,G,Research Analyst,PG,Economics,Nagpur,2017.0,Economics,Nagpur,2021.0,Others,Kolkata,2007.0,Pune,Mangalore,755345,N,B,2,0,0,0,981948
203,56085,17,6,Accounts,Sales Execituve,Aviation,F,Research Analyst,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Guwahati,Delhi,1779216,Y,Key_Performer,5,5,2,0,2312980
204,31283,14,13,Sales,Sales Execituve,Analytics,O,Consultant,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kanpur,Nagpur,1180321,N,Key_Performer,3,0,2,0,1475401
205,30625,21,5,Analytics/BI,Business Analyst,FMCG,J,Web Designer,Doctorate,Economics,Jaipur,1999.0,Economics,Jaipur,2009.0,Others,Kolkata,2007.0,Jaipur,Guwahati,3202129,N,A,2,0,0,0,4322874
207,37773,0,0,Marketing,Others,Training,M,HR,Grad,Zoology,Bangalore,2020.0,Zoology,Bangalore,2022.0,Others,Kolkata,2007.0,Guwahati,Bangalore,0,N,B,0,0,0,0,306742
211,31675,6,6,Marketing,Project Manager,Others,H,Marketing Manager,Grad,Psychology,Bangalore,2014.0,Psychology,Bangalore,2020.0,Others,Kolkata,2007.0,Mangalore,Bhubaneswar,1310239,N,D,4,2,0,0,1506774
212,19525,18,10,Accounts,Consultant,Insurance,M,Software Developer,PG,Others,Delhi,2002.0,Sociology,Delhi,2011.0,Others,Kolkata,2007.0,Pune,Surat,1546540,N,A,6,1,1,0,2010502
214,26658,5,5,Marketing,Sales Execituve,Aviation,I,Product Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kanpur,Guwahati,440977,N,B,6,6,3,0,551221
216,10252,1,1,Accounts,Sales Execituve,Training,I,Data Analyst,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Jaipur,Mumbai,540397,N,B,2,3,2,0,675496
217,52249,2,2,HR,Analyst,Others,M,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kolkata,Surat,438458,N,A,1,2,3,0,548072
220,19900,7,1,Marketing,Sales Execituve,FMCG,D,HR,Grad,Arts,Mumbai,2013.0,Others,Mumbai,2017.0,Others,Kolkata,2007.0,Surat,Bhubaneswar,1292113,N,B,1,0,0,0,1615141
221,48402,19,19,Others,CEO,Retail,C,Web Designer,Doctorate,Engineering,Pune,2001.0,Engineering,Pune,2022.0,Others,Kolkata,2007.0,Mangalore,Nagpur,2704453,Y,Key_Performer,5,1,0,0,3786234
225,57641,5,3,Education,Business Analyst,Telecom,H,HR,PG,Arts,Delhi,2015.0,Others,Delhi,2011.0,Others,Kolkata,2007.0,Mangalore,Mangalore,665532,N,D,2,0,1,0,795976
226,40634,16,8,Banking,Sales Manager,IT,H,Sr.Manager,Grad,Botony,Ahmedabad,2004.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Delhi,2512082,N,D,6,1,0,0,2888894
227,59987,10,7,Analytics/BI,Analyst,Training,G,Consultant,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Kanpur,1421410,N,A,3,2,4,0,1776762
228,13317,18,0,Healthcare,Senior Researcher,BFSI,F,HR,Doctorate,Sociology,Jaipur,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Delhi,Surat,3156429,N,C,2,0,0,0,3920284
229,37565,4,0,Sales,Business Analyst,Automobile,P,Product Manager,Grad,Statistics,Surat,2016.0,Statistics,Surat,2010.0,Others,Kolkata,2007.0,Ahmedabad,Kolkata,502160,N,D,2,0,0,0,577484
230,57986,22,18,Marketing,Senior Researcher,Retail,L,Others,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kolkata,Surat,1926222,N,B,4,2,2,0,2407777
231,12576,13,3,Others,Senior Researcher,IT,M,Others,PG,Arts,Kolkata,2000.0,Arts,Kolkata,2002.0,Arts,Mumbai,2007.0,Mumbai,Kanpur,1778254,Y,Key_Performer,2,6,2,0,2347295
232,26143,20,12,Others,Sales Execituve,Training,M,Product Manager,Grad,Sociology,Jaipur,2000.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Guwahati,Nagpur,2764665,N,D,4,1,0,0,3179364
233,40714,21,9,Sales,Business Analyst,BFSI,B,Data Analyst,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Surat,Guwahati,2580768,N,D,6,5,1,0,2967883
237,35691,16,1,Top Management,Area Sales Manager,Analytics,J,Marketing Manager,PG,Zoology,Bhubaneswar,2004.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kolkata,Mangalore,2526845,N,C,4,0,1,0,3022106
239,48241,19,17,Marketing,Business Analyst,Others,A,Marketing Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Nagpur,Ahmedabad,1527341,N,D,3,1,1,0,1756442
241,24180,13,7,HR,Project Manager,IT,D,Data Analyst,Doctorate,Botony,Mumbai,1999.0,Others,Mumbai,2001.0,Others,Mumbai,2007.0,Lucknow,Kanpur,2306029,N,B,5,5,0,0,3113139
